Number of hit	Text ID	Context before	Query item	Context after	URL	Matchbegin corpus position	Matchend corpus position
6914	nyt_eng_19940821_0003	the jail , located about 80 miles north of Baghdad , were members of al-Qaida in Mesopotamia , a Sunni	extremist	group , who had been sentenced to death . Eight of the 16 men have been recaptured , the authorities	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6913	1571689994	1571689994
6915	nyt_eng_19940821_0003	Audrey Kurth Cronin , a professor at the National War College in Washington , cites the arcs of previous violent	extremist	groups , from the Russian People 's Will to the Irish Republican Army , that she studied for her new	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6914	1571704476	1571704476
6916	nyt_eng_19940821_0003	Authority 's Information Ministry issued a statement after the initial clashes on Sunday accusing the `` Israeli occupation police and	extremist	settlers '' of `` breaking into the courtyard of the mosque , firing tear gas bombs and live bullets ''	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6915	1571900168	1571900168
6917	nyt_eng_19940821_0003	The Ministry of Information calls upon our people to gather at the mosque and to stand in the face of	extremist	Jewish groups . '' Saeb Erekat , the chief Palestinian negotiator , accused Israel of `` deliberately escalating tensions in	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6916	1571900225	1571900225
6918	nyt_eng_19940821_0003	would tell me that 's how he talked to his family . '' It was his rants against Americans on	extremist	sites and his stated desire to wage jihad that caught the attention of the FBI earlier this year , law	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6917	1571910713	1571910713
6919	nyt_eng_19940821_0003	would tell me that 's how he talked to his family . '' It was his rants against Americans on	extremist	sites and his stated desire to wage jihad that caught the attention of the FBI this year , law enforcement	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6918	1571912826	1571912826
6920	nyt_eng_19940821_0003	the United States was driven from the region , it `` would have catastrophic consequences in terms of energizing the	extremist	movement , al-Qaida recruitment , operations , fund-raising , and so on . '' In an interview on Sunday on	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6919	1571922814	1571922814
6921	nyt_eng_19940821_0003	are Afghanis or Pakistanis . Their fanatic determination is to take over Pakistan no less than Afghanistan to impose an	extremist	Islamic government . The horror is unbearable that such a regime would control nuclear weapons and seek eventual wider domination	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6920	1571980326	1571980326
6922	nyt_eng_19940821_0003	times one side harder than the other . Given that ambivalence and the stake of a nuclear arsenal falling into	extremist	hands , the practical course for the U.S. and the world is to build up Afghani civil institutions , train	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6921	1571980482	1571980482
6923	nyt_eng_19940821_0003	prisoners included four from Hamas ; five from Fatah , the rival mainstream Palestinian group ; three from the more	extremist	Islamic Jihad ; and one from the leftist Popular Front for the Liberation of Palestine . He said the others	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6922	1572316481	1572316481
6924	nyt_eng_19940821_0003	lately have been touting what they call great success in working together with Pakistani authorities to decapitate al-Qaida and other	extremist	cells . Yet critics point out that successful drone attacks require good intelligence on the ground , something that may	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6923	1572354410	1572354410
6925	nyt_eng_19940821_0003	Zaq , the only one from Gaza . Zaq , who is in her 40s , is affiliated with the	extremist	group Islamic Jihad . She was arrested in May 2007 at the Erez crossing on her way into Israel ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6924	1572631387	1572631387
6926	nyt_eng_19940821_0003	Zaq , the only one from Gaza . Zaq , who is in her 40s , is affiliated with the	extremist	group Islamic Jihad . She was arrested in May 2007 at the Erez crossing on her way into Israel ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6925	1572646851	1572646851
6927	nyt_eng_19940821_0003	a more balanced approach to the region than that of President George W. Bush , whom he accused of encouraging	extremist	elements with his unstinting support of Israel . `` We think the tarnished image of the United States under President	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6926	1572805262	1572805262
6928	nyt_eng_19940821_0003	a more balanced approach to the region than that of President George W. Bush , whom he accused of encouraging	extremist	elements with his unstinting support of Israel . `` We think the tarnished image of the United States under President	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6927	1572805723	1572805723
6929	nyt_eng_19940821_0003	who are fiercely protective of him -- essentially his own private army , which has made it difficult for the	extremist	Islamists wreaking havoc in other parts of Somalia to establish a beachhead here . People who have challenged his authority	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6928	1572819660	1572819660
6930	nyt_eng_19940821_0003	has defined his mission in Afghanistan and Pakistan as attempting `` to disrupt , dismantle and defeat al-Qaida and other	extremist	networks around the world . '' But he made clear during a visit to the National Counterterrorism Center on Tuesday	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6929	1573438797	1573438797
6931	nyt_eng_19940821_0003	has defined his mission in Afghanistan and Pakistan as attempting `` to disrupt , dismantle and defeat al-Qaida and other	extremist	networks around the world . '' But he made clear during a visit to the National Counterterrorism Center on Tuesday	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6930	1573449712	1573449712
6932	nyt_eng_19940821_0003	by police and intelligence agencies . As the authorities watched and listened in , Amara organized training camps that featured	extremist	Islamic teachings and somewhat inept military-style exercises . Among other things , members of the group considered raiding Canada 's	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6931	1573653165	1573653165
6933	nyt_eng_19940821_0003	by police and intelligence agencies . While the authorities watched and listened in , Amara organized training camps that featured	extremist	Islamic teachings and somewhat inept military-style exercises . Among other things , members of the group considered raiding Canada 's	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6932	1573653816	1573653816
6934	nyt_eng_19940821_0003	a year on suspicion of having contact with members of al - Qaida in the Islamic Maghreb , a Sunni	extremist	group that has carried out numerous attacks in Algeria and is allied with Osama bin Laden 's terrorist network .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6933	1573696991	1573696991
6935	nyt_eng_19940821_0003	more than a year on suspicion of having contact with members of al-Qaida in the Islamic Maghreb , a Sunni	extremist	group that has carried out numerous attacks in Algeria and is allied with Osama bin Laden 's terrorist network .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6934	1573777101	1573777101
6936	nyt_eng_19940821_0003	peaceful in Iraq during the past two years after many tribal leaders dropped allegiances to al-Qaida in Mesopotamia , an	extremist	Sunni Arab group , and joined Awakening Councils that linked with the American military and the Iraqi government . Hekmet	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6935	1574069230	1574069230
6937	nyt_eng_19940821_0003	were arrested on Thursday on suspicion of having contacts with member of al-Qaida in the Islamic Maghreb , a Sunni	extremist	group based in Algeria . The brother has been released . CHINA SIGNS DEAL FOR GAS RUSSIA China and Russia	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6936	1574311705	1574311705
6938	nyt_eng_19940821_0003	, France , on suspicion of having contacts with a member of al-Qaida in the Islamic Maghreb , a Sunni	extremist	group based in Algeria that has affiliated itself with Osama bin Laden 's terrorist network . The brother has been	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6937	1574345619	1574345619
6939	nyt_eng_19940821_0003	, France , on suspicion of having contacts with a member of al-Qaida in the Islamic Maghreb , a Sunni	extremist	group based in Algeria that has affiliated itself with Osama bin Laden 's terrorist network . The brother has been	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6938	1574347617	1574347617
6940	nyt_eng_19940821_0003	while traveling in Moscow on Wednesday . `` Our goal is to disrupt , dismantle , defeat al-Qaida and its	extremist	allies , '' she said . `` But not every Taliban is an extremist ally . '' That thesis generated	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6939	1574491912	1574491912
6941	nyt_eng_19940821_0003	dismantle , defeat al-Qaida and its extremist allies , '' she said . `` But not every Taliban is an	extremist	ally . '' That thesis generated criticism in Washington . `` I 'm worried that we 're going to see	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6940	1574491926	1574491926
6942	nyt_eng_19940821_0003	of the democratic reform movement since June 's contested presidential election . Obama just did n't want to offend the	extremist	government of President Mahmoud Ahmadinejad . In a troubling show of consistency , President Obama 's special adviser on Russia	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6941	1574770310	1574770310
6943	nyt_eng_19940821_0003	people power . In places like Egypt , Syria , Saudi Arabia , Afghanistan or Pakistan you have violent religious	extremist	movements fighting with state security services . And while the regimes in these countries are committed to crushing their extremists	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6942	1574939365	1574939365
6944	nyt_eng_19940821_0003	. And while the regimes in these countries are committed to crushing their extremists , they rarely take on their	extremist	ideas by offering progressive alternatives . That 's largely because the puritanical Islamic ideology of the Saudi state or segments	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6943	1574939392	1574939392
6945	nyt_eng_19940821_0003	the world , and he acts in accordance with that view . '' But some critics call Armey an ideological	extremist	whose group has adopted extreme tactics such as disruption and odious imagery . `` Their effort has been to propagate	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6944	1575028273	1575028273
6946	nyt_eng_19940821_0003	up at Obama events , including a man at an August town hall in New Hampshire . `` The racist	extremist	fringe is exploiting themes that strike a chord in the mainstream more than we have seen in the recent past	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6945	1575225876	1575225876
6947	nyt_eng_19940821_0003	, is trying to kill cleaner air with hot air . Given the human toll , the chamber is the	extremist	, with the burning of fossil fuels ever more a dirty bomb . Clarification : A reference to `` bonuses	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6946	1575925813	1575925813
6948	nyt_eng_19940821_0003	lives , in this case , to prevent Afghanistan from once again becoming a safe haven for al-Qaida and its	extremist	allies , '' Obama said . Obama met with his top security advisers at the White House before flying to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6947	1576364106	1576364106
6949	nyt_eng_19940821_0003	lives , in this case , to prevent Afghanistan from once again becoming a safe haven for al-Qaida and its	extremist	allies , '' Obama said . In a 15-minute address in an open hangar , standing before hundreds of uniformed	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6948	1576364861	1576364861
6950	nyt_eng_19940821_0003	lives , in this case , to prevent Afghanistan from once again becoming a safe haven for al-Qaida and its	extremist	allies , '' Obama said . Back in Washington , Sen. John Kerry , who just returned from Afghanistan ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6949	1576368125	1576368125
6951	nyt_eng_19940821_0003	to portray the forces arrayed against them not as a home-grown domestic effort to prevent the return of a detested	extremist	regime , which is what it is , but as the effort of a foreign occupier , '' Levin told	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6950	1576771933	1576771933
6952	nyt_eng_19940821_0003	Iraq from 2003 to 2008 . After disrupting two recent terrorism plots , American intelligence officials are increasingly concerned that	extremist	groups in Pakistan linked to al-Qaida are planning smaller operations in the United States that are harder to detect but	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6951	1576919498	1576919498
6953	nyt_eng_19940821_0003	9 : ? 4 ? 06Ã?0 ? ? ? 9Ã? ; ? 2 ? 2 : hey apparently trained with	extremist	groups affiliated with al-Qaida . The officials , from American military , law enforcement and intelligence agencies , spoke on	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6952	1576919641	1576919641
6954	nyt_eng_19940821_0003	of their own sexuality , of women and of Jews contributed toward the movement of some young men toward right-wing	extremist	politics after World War I , '' Herf said . `` But there are people all over the globe who	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6953	1576950145	1576950145
6955	nyt_eng_19940821_0003	of Russia 's Federal Security Service , Alexander Bortnikov , said that the suspects were identified during a crackdown on	extremist	groups in Moscow , and that the killer had confessed . The attack on the lawyer , Stanislav Markelov ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6954	1577511262	1577511262
6956	nyt_eng_19940821_0003	of Russia 's Federal Security Service , Alexander Bortnikov , said that the suspects were identified during a crackdown on	extremist	groups in Moscow , and that the killer had confessed . The attack on the lawyer , Stanislav Markelov ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6955	1577551333	1577551333
6957	nyt_eng_19940821_0003	the Russian intelligence agency , the FSB , told Medvedev that his investigators cracked the case while scrutinizing Moscow 's	extremist	groups , and then zeroed in on a suspect , who confessed to the crime . During the process ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6956	1577552098	1577552098
6958	nyt_eng_19940821_0003	of Russia 's Federal Security Service , Alexander Bortnikov , said that the suspects were identified during a crackdown on	extremist	groups in Moscow , and that the killer had confessed . The attack on the lawyer , Stanislav Markelov ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6957	1577596353	1577596353
6959	nyt_eng_19940821_0003	from one crisis to the next , the latest being a vicious civil war between a weak government and an	extremist	Islamist insurgency during one of the worst droughts in years . The United States has played a huge role in	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6958	1577645754	1577645754
6960	nyt_eng_19940821_0003	Russia 's Federal Security Service , Aleksandr Bortnikov , said Thursday that the two were arrested during a sweep of	extremist	groups . So far , however , no other arrests have been announced . Little is known about Khasis .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6959	1577662383	1577662383
6961	nyt_eng_19940821_0003	. But Muslims who attended mosques with Hasan in Virginia , Maryland and Texas said they never heard him express	extremist	views about politics or religion . And though openly opposed to the wars , he did not express anti-American sentiments	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6960	1577704679	1577704679
6962	nyt_eng_19940821_0003	. But Muslims who attended mosques with Hasan in Virginia , Maryland and Texas said they never heard him express	extremist	views about politics or religion . And though openly opposed to the wars , he did not express anti-American sentiments	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6961	1577708119	1577708119
6963	nyt_eng_19940821_0003	Russia 's Federal Security Service , Aleksandr Bortnikov , said Thursday that the two were arrested during a sweep of	extremist	groups . So far , however , no other arrests have been announced . Little is known about Khasis .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6962	1577765949	1577765949
6964	nyt_eng_19940821_0003	. But Muslims who attended mosques with Hasan in Virginia , Maryland and Texas said they never heard him express	extremist	views about politics or religion . And though openly opposed to the wars , he did not express anti-American sentiments	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6963	1577779603	1577779603
6965	nyt_eng_19940821_0003	on the inquiry . Investigators have not ruled out the possibility that Major Hasan believed he was carrying out an	extremist	's suicide mission . But the investigators , working with behavioral experts , suggested that he may have long suffered	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6964	1577867734	1577867734
6966	nyt_eng_19940821_0003	investigators have unearthed no evidence that he was directed or steered into violence or ever traveled overseas to meet with	extremist	groups , as defendants in other recent terrorism cases are accused of doing , the officials said . The officials	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6965	1577867916	1577867916
6967	nyt_eng_19940821_0003	on the inquiry . Investigators have not ruled out the possibility that Major Hasan believed he was carrying out an	extremist	's suicide mission . But the investigators , working with behavioral experts , suggested that he may have long suffered	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6966	1577869184	1577869184
6968	nyt_eng_19940821_0003	investigators have unearthed no evidence that he was directed or steered into violence or ever traveled overseas to meet with	extremist	groups , as defendants in other recent terrorism cases are accused of doing , the officials said . The officials	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6967	1577869366	1577869366
6969	nyt_eng_19940821_0003	on Saturday that thus far , investigators had not found any evidence suggesting that Hasan had been in contact with	extremist	or terrorist organizations . `` I do n't know of that link , '' Harman said , adding that the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6968	1577869614	1577869614
6970	nyt_eng_19940821_0003	reconsider their use of Heidegger 's ideas . Although Faye talks about the close connection between Heidegger and current right-wing	extremist	politics , left-wing intellectuals have more frequently been inspired by his ideas . Existentialism and postmodernism as well as attendant	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6969	1577967686	1577967686
6971	nyt_eng_19940821_0003	over what story to build out of those circumstances . And evidence is now mounting to suggest he chose the	extremist	War on Islam narrative that so often leads to murderous results . The conversation in the first few days after	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6970	1578185792	1578185792
6972	nyt_eng_19940821_0003	to a report released Tuesday by Human Rights Watch . Members of the minority groups are being singled out by	extremist	insurgent groups and also are caught in the middle of a struggle for land and resources between Arabs and the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6971	1578252988	1578252988
6973	nyt_eng_19940821_0003	to a report released Tuesday by Human Rights Watch . Members of the minority groups are being singled out by	extremist	insurgent groups and also are caught in the middle of a struggle for land and resources between Arabs and the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6972	1578257336	1578257336
6974	nyt_eng_19940821_0003	Watch report focused on Christians , Shabaks and Yazidis in Nineveh Province . The groups are at the mercy of	extremist	insurgent groups and also caught in the middle of a struggle for land and resources between Arabs and the central	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6973	1578271351	1578271351
6975	nyt_eng_19940821_0003	Watch report focused on Christians , Shabaks and Yazidis in Nineveh Province . The groups are at the mercy of	extremist	insurgent groups and also caught in the middle of a struggle for land and resources between Arabs and the central	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6974	1578285695	1578285695
6976	nyt_eng_19940821_0003	to a report released Tuesday by Human Rights Watch . Members of the minority groups are being singled out by	extremist	insurgent groups and also are caught in the middle of a struggle for land and resources between Arabs and the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6975	1578349634	1578349634
6977	nyt_eng_19940821_0003	to a report released Tuesday by Human Rights Watch . Members of the minority groups are being singled out by	extremist	insurgent groups and also are caught in the middle of a struggle for land and resources between Arabs and the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6976	1578368024	1578368024
6978	nyt_eng_19940821_0003	Kurdish region 's capital , Erbil , and focused on Christians , Shabaks and Yazidis in Nineveh province . The	extremist	attacks have cost many hundreds of lives and , the report notes , `` struck at the social infrastructure of	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6977	1578368091	1578368091
6979	nyt_eng_19940821_0003	sent the e-mail messages to an imam with mysterious connections to the Sept. 11 hijackers and a Web site encouraging	extremist	violence should have set off greater alarms . `` The fact that they got these e-mails and acted on them	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6978	1578489836	1578489836
6980	nyt_eng_19940821_0003	sent the e-mail messages to an imam with mysterious connections to the Sept. 11 hijackers and a Web site encouraging	extremist	violence should have set off greater alarms . Bruce Hoffman , a terrorism expert at Georgetown , said that any	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6979	1578490943	1578490943
6981	nyt_eng_19940821_0003	hearing about deployments or even alleged harassment that turned Hasan into an accused killer . Instead , it was an	extremist	religious doctrine that Hasan had repeatedly shown adherence to in recent years . A decent , polite society appropriately discourages	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6980	1578727293	1578727293
6982	nyt_eng_19940821_0003	U.S. armed forces . But it is a disservice to them and to all benevolent Muslims not to call an	extremist	an extremist . It was n't a bad day on post that resulted in the latest case of what scholar	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6981	1578727379	1578727379
6983	nyt_eng_19940821_0003	forces . But it is a disservice to them and to all benevolent Muslims not to call an extremist an	extremist	. It was n't a bad day on post that resulted in the latest case of what scholar Daniel Pipes	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6982	1578727381	1578727381
6984	nyt_eng_19940821_0003	recordings and writings of Anwar al-Awlaki , an eloquent Muslim cleric who has turned the Web into a tool for	extremist	indoctrination . Awlaki , 38 , the son of a former agriculture minister and university president in Yemen , has	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6983	1579486022	1579486022
6985	nyt_eng_19940821_0003	recordings and writings of Anwar al-Awlaki , an eloquent Muslim cleric who has turned the Web into a tool for	extremist	indoctrination . Awlaki , 38 , the son of a former agriculture minister and university president in Yemen , has	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6984	1579503691	1579503691
6986	nyt_eng_19940821_0003	to the message of Anwar al-Awlaki , an eloquent Muslim cleric who has turned the Web into a tool for	extremist	indoctrination . Awlaki , 38 , the son of a former agriculture minister and university president in Yemen , has	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6985	1579538886	1579538886
6987	nyt_eng_19940821_0003	to the message of Anwar al-Awlaki , an eloquent Muslim cleric who has turned the Web into a tool for	extremist	indoctrination . Awlaki , 38 , the son of a former agriculture minister and university president in Yemen , has	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6986	1579550504	1579550504
6988	nyt_eng_19940821_0003	It should not be an act of moral courage for a soldier to identify a fellow soldier who is displaying	extremist	behavior -- it should be an obligation , '' Army Gen. John Keane , the Army 's former vice chief	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6987	1579645726	1579645726
6989	nyt_eng_19940821_0003	Army psychiatrist is accused of killing 13 people and wounding 43 others , was a terrorist attack by a homegrown	extremist	who may have slipped past law enforcement and military authorities . Gates said the goal of the review was threefold	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6988	1579649486	1579649486
6990	nyt_eng_19940821_0003	Army psychiatrist is accused of killing 13 people and wounding 43 others , was a terrorist attack by a homegrown	extremist	who may have slipped past law enforcement and military authorities . Gates said the goal of the review was threefold	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6989	1579657045	1579657045
6991	nyt_eng_19940821_0003	him since his arrest , however , suggests Headley felt pulled between two cultures , and ultimately gravitated toward an	extremist	Islamic one . By Ginger Thompson . WALL-ST-MORTGAGES -LRB- New York -RRB- -- As millions of Americans struggle to hold	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6990	1579947381	1579947381
6992	nyt_eng_19940821_0003	him since his arrest , however , suggests Headley felt pulled between two cultures , and ultimately gravitated toward an	extremist	Islamic one . By Ginger Thompson . With photo . -LRB- Scheduled to move by 2 p.m. ET in ``	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6991	1579950643	1579950643
6993	nyt_eng_19940821_0003	what they said were key actors in a recruitment effort that led roughly 20 young American men to join an	extremist	rebel group in Somalia with ties to al-Qaida . With eight new suspects implicated Monday , the authorities have charged	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6992	1580309519	1580309519
6994	nyt_eng_19940821_0003	the Somali group , Al Shabaab . The case represents the largest group of U.S. citizens suspected of joining an	extremist	movement affiliated with al-Qaida . The new suspects , many of whom came of age as African refugees in the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6993	1580309604	1580309604
6995	nyt_eng_19940821_0003	what they said were key actors in a recruitment effort that led roughly 20 young American men to join an	extremist	rebel group in Somalia with ties to al-Qaida . With eight new suspects implicated Monday , the authorities have charged	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6994	1580310786	1580310786
6996	nyt_eng_19940821_0003	the Somali group , Al Shabaab . The case represents the largest group of U.S. citizens suspected of joining an	extremist	movement affiliated with al-Qaida . The new suspects , many of whom came of age as African refugees in the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6995	1580310871	1580310871
6997	nyt_eng_19940821_0003	the Somali group , Al Shabaab . The case represents the largest group of U.S. citizens suspected of joining an	extremist	movement affiliated with al-Qaida . The new suspects , many of whom came of age as African refugees in the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6996	1580365652	1580365652
6998	nyt_eng_19940821_0003	the Somali group , Al Shabaab . The case represents the largest group of U.S. citizens suspected of joining an	extremist	movement affiliated with al-Qaida . The new suspects , many of whom came of age as African refugees in the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=6997	1580366126	1580366126
